"Points:0","Points:1","Points:2"
0.40368,0.11889,0
0.40042,0.11904,0
0.40369,0.1189,0
0.40041,0.11906,0
0.40369,0.11891,0
0.40041,0.11907,0
0.4037,0.11893,0
0.4004,0.11909,0
0.4037,0.11894,0
0.40039,0.1191,0
0.40371,0.11895,0
0.40038,0.11912,0
0.40371,0.11897,0
0.40038,0.11913,0
0.40372,0.11898,0
0.40037,0.11914,0
0.40372,0.11899,0
0.40036,0.11916,0
0.40373,0.11901,0
0.40035,0.11917,0
0.40373,0.11902,0
0.40035,0.11919,0
0.40374,0.11904,0
0.40034,0.1192,0
0.40374,0.11905,0
0.40033,0.11922,0
0.40375,0.11906,0
0.40032,0.11923,0
0.40375,0.11908,0
0.40032,0.11924,0
0.40376,0.11909,0
0.40031,0.11926,0
0.40376,0.1191,0
0.4003,0.11927,0
0.40377,0.11912,0
0.40029,0.11929,0
0.40377,0.11913,0
0.40029,0.1193,0
0.40378,0.11914,0
0.40028,0.11931,0
0.40378,0.11916,0
0.40027,0.11933,0
0.40379,0.11917,0
0.40026,0.11934,0
0.40379,0.11919,0
0.40026,0.11936,0
0.4038,0.1192,0
0.40025,0.11937,0
0.4038,0.11921,0
0.40024,0.11939,0
0.40381,0.11923,0
0.40023,0.1194,0
0.40381,0.11924,0
0.40023,0.11941,0
0.40382,0.11925,0
0.40022,0.11943,0
0.40382,0.11927,0
0.40021,0.11944,0
0.40383,0.11928,0
0.4002,0.11946,0
0.40383,0.11929,0
0.4002,0.11947,0
0.40384,0.11931,0
0.40019,0.11948,0
0.40384,0.11932,0
0.40018,0.1195,0
0.40385,0.11934,0
0.40017,0.11951,0
0.40385,0.11935,0
0.40017,0.11953,0
0.40386,0.11936,0
0.40016,0.11954,0
0.40386,0.11938,0
0.40015,0.11956,0
0.40387,0.11939,0
0.40014,0.11957,0
0.40387,0.1194,0
0.40014,0.11958,0
0.40388,0.11942,0
0.40013,0.1196,0
0.40388,0.11943,0
0.40012,0.11961,0
0.40389,0.11944,0
0.40011,0.11963,0
0.40389,0.11946,0
0.40011,0.11964,0
0.4039,0.11947,0
0.4001,0.11966,0
0.4039,0.11949,0
0.40009,0.11967,0
0.40391,0.1195,0
0.40009,0.11968,0
0.40391,0.11951,0
0.40008,0.1197,0
0.40392,0.11953,0
0.40007,0.11971,0
0.40392,0.11954,0
0.40006,0.11973,0
0.40393,0.11955,0
0.40006,0.11974,0
0.40393,0.11957,0
